Country,Q1.4 Challenges in undertaking specific actions to incorporate the values and principles of OS,Q2.2.1 Challenges in establishing a legal framework that adresses OS,Q2.3.1 Challenges in establishing policy instruments to promote OS,Q2.4.1 Challenges in establishing institutional policies for OS,Q2.6.1 Challenges in establishing specific funding mechanisms for OS,Q2.7.1 Challenges in integrating OS within research funding mechanisms,Q2.8.1 Challenges in establishing PPP on OS,Q3.3 Challenges in establishing NRENs,Q3.4.5 Challenges in establishing OS infrastructures,Q4.1.1 Challenges related to OS capacity building in HE & research institutions,Q4.2.1 Challenges related to  OS capacity building for policymakers,Q4.3.1 Challenges in incorporating OS competencies framework in HE,Q4.5.1 Challenges in promoting science communication in line with OS values,Q5.1.1 Challenges in establishing initiatives to review research assessment to align with OS,Q5.2.1 Challenges in integrating OS in career evaluation & progression,Q5.3.1 Challenges in establishing initiatives to recognise and reward OS,Q5.4.1 Negative consequences,"Q6.1.7 Challenges in establishing innovative, participatory OS practices across the research cycle ",Q7.2.1 Challenges in establishing a strategy for cross-border OS collab,Q7.3.1  Challenges in establishing regional/intl. funding mechanisms for OS,Q8.1.1 External challenges for OS implementation ?
Albania,,,,,,,,,,,,,,,,,,,,,
Algeria,,,,,,,,,,,,,,,,,,,,,
Angola,,,"Angolan researchers face difficulties in publicising their work, reducing the impact and citation of their research. The lack of open access limits international
collaboration and Angola's insertion into the global scientific community. Researchers, students and institutions may find it difficult to access cutting-edge scientific articles, data and
publications due to the high cost of journal subscriptions and closed databases. Without easy access to research and scientific data, the productive sector may face difficulties in developing
new technologies and innovations. Without a clear policy for sharing data and publications, national science may have problems with credibility and reproducibility, hindering consistent
progress.",,,,,"Limited Infrastructure: Developing a dedicated network for research and education requires substantial investment in infrastructure, which may be lacking.  Funding Constraints: Establishing and maintaining an NREN demands significant financial resources, which might be a barrier. Coordination Among Institutions: Creating an NREN necessitates collaboration among various educational and research institutions, which can be challenging to coordinate. ",,,,"Limited Investment in Scientific Research: Due to constrained state budgets and scarce private financing, Angola faces challenges in developing robust scientific research infrastructure. This limitation affects the integration of comprehensive research components, including open science competencies, into higher education curricula.  ",,,Lack of Established Policies: There is no clear national policy mandating the integration of open science practices into research career assessments. Limited Institutional Adoption: Universities and research institutions are still in the early stages of adapting open science principles into academic evaluation frameworks. Need for Awareness and Capacity Building: Many researchers and institutions require further training and guidelines on how open science contributions can be formally recognized in career progression.,"Universities and research institutions have not yet implemented structured policies to incentivize open science contributions. Many researchers and institutions still prioritize traditional academic outputs, such as indexed journal publications, over open science practices. There are no government-led or institutional awards dedicated to recognizing open science efforts.",,,,,
Argentina,,,,,,,,,,,,,,,,,,,,,
Armenia,,,,,,,,,,,"As OS implementation is relevantly new in Armenia, there are still no regular seminars for decision makers on that topic.","As OS implementation is relevantly new in Armenia, there universities are still on their way to
incorporate that topic in their respective curricula.",,,,,scientists had problems with identifying predatory or fraud journals which caused them to publish their results in such journals,,,need for a more profound research of potential collaborators and partners in this field,Low level of open science awareness among researchers and lack of proper understanding of benefits of opening research data and protocols. Interdisciplinary approaches aren’t practiced widely. Unwillingness to share data. Immature legislative basis for data protection. Insufficient use of diverse metrics in evaluation and review processes. The lack of personnel capable to work with and maintain open science infrastructures. Underdeveloped state of semantic analysis tools for Armenian language and insufficient state of language technologies for Armenian language. Low level of trust in open science opportunities and inadequate appreciation of open science practices. Low prioritization of open science policy development in the R&D governance.
Australia,,,,,,,,,,,,,,,,,,,,,
Austria,,,,,,,Lack of Dedicated Frameworks: There is no comprehensive framework specifically designed to facilitate equitable public-private partnerships on Open Science. Alignment of Objectives: Aligning the goals of private sector stakeholders with the principles of Open Science remains challenging. Resource Constraints: Limited financial and human resources have hindered the development of structured initiatives in this area.,,,,,,,,,,"Legal and Copyright Issues: Implementing open access strategies necessitates careful navigation of legal frameworks, particularly concerning copyright laws. Authors and repository operators in Austria must consider various legal provisions when making documents publicly accessible. For instance, while many publishers permit self-archiving, they often impose conditions such as embargo periods between the publication date and open online access. This underscores the importance of understanding and adhering to copyright regulations to avoid legal complications. Equity and Inclusion Concerns: Open Science aims to democratise access to research, but if not implemented thoughtfully, it may inadvertently exacerbate existing inequities. For example, the ""author-pays"" model of open access can be exclusionary, potentially limiting participation from researchers or institutions with fewer financial resources. This dynamic can lead to stratifications in publishing, where only well-funded researchers can afford to publish openly, thereby reinforcing existing disparities. Quality and Reproducibility Challenges: The push for openness must be balanced with maintaining research quality. Without rigorous peer review and quality control mechanisms, there is a risk of disseminating unverified or low-quality research. Moreover, while open science promotes transparency, it also necessitates robust frameworks to ensure that shared data and methodologies are reproducible and reliable. Addressing these challenges is crucial to prevent a potential crisis of trust in scientific research. Foreign Interference: The OSA Steering Board is currently working on the topic of foreign interference and open data at Austrian universities. Predatory publishing: Predatory publishing is an issue of considerable concern for academic institutions in Austria.",,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,
Bahrain,,,"Lack of awareness of the open science principles, nascent research ecosystem, and increased focus on economic growth and digital transformation supersede academic and research frameworks aims. This appears to be a secondary concern, and is subsequent.","lack of awareness about open science principles, a nascent research ecosystem, and a greater emphasis on economic growth and digital transformation over academic and research frameworks. ",,limited awareness and understanding of Open Science,,,,,Open Science policies and strategies have not yet been implemented.,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,
Belgium,,,,,,,,,,,,,,,,,"The evaluation of the Open Science policy plan 2019-2024 in Flanders has shown that the reporting on the KPI’s included in the policy plan entails a large administrative burden, especially for smaller institutions. the evaluation showed that at times, researchers experience conflicting expectations between Open Science and valorisation. an increase in APCs.",,,,"The rising attention to knowledge security may lead to more caution in the implementation of (not only) UNESCO recommendations in Open Science. There is certainly complementarity between OS and Knowledge security, but it is important that related policies can be considered in a holistic perspective. Knowledge security can be seen as impeding the implementation of Open Science."
Benin,,,,,,"High fees for publishing in scientific journals are obstacles. There is a lack of training on open science practices, and open science standards and norms are inconsistent. ",,,establishing the appropriate regulatory framework ,,,,,,,Low awareness/information among stakeholders,,,,,
Brazil,,,,,,,,,,,,since curricular reforms are complex and take time,,,,,,,,,
Canada,,,,,,,,,,,,,,,,,"It is not clear if negative trends in scientific publishing, including an increase in predatory
publishers and high article processing charges, can be attributed to open science practices.
There have been efforts within the federal government science community to mitigate these
trends, such as the distribution of information on predatory publishing to scientific staff and
through negotiating agreements with publishers to reduce or eliminate article processing
charges.
The federal science community is also concerned with the potential negative consequences of
open science/open data practices in the context of Reconciliation and the assertion of
Ownership, Control, Access and Possession (OCAP) principles by Indigenous communities.
As more datasets become widely available, ones that have restrictions on use may be less
likely to be used, particularly with the rise of AI. This may further marginalize perspectives of
Indigenous communities.
The Quebec (provincial) government has identified a funding issue in the publication of
research findings in scholarly journals with immediate open access. Scholarly journals
sometimes charge publication fees, and fees are sometimes required for Diamond open
access journals to operate consistently.
Another obstacle is the lack of recognition for open access publishing practices in the
standards used to evaluate researchers’ scientific output. This prevents the scientific
community from adopting this practice. It is also difficult to counter the appeal of publishing in
prestigious scholarly journals which do not publish in immediate open access.
There can be perceived conflict between the principle of open science and the need to make
knowledge accessible for different audiences. This is in line with the open science values of
access and benefits-sharing for society, but misunderstandings sometimes persist among
certain scientific or societal stakeholders.
a lack of positive regional benefits for locally funded or supported science presents a
challenge. The free and automatic dissemination of knowledge does not necessarily guarantee
that it will be used for the benefit of the community that generated it. This underlines the
importance of having stakeholders who are dedicated to mobilizing scientific knowledge in
order to encourage its adoption and use. Although this issue does not conflict with the principles
of open science, it is recurring, and mechanisms for sharing the societal benefits of scientific
output must be developed.",,,,"Institutions in Canada are facing funding challenges to support the development and
maintenance of open science practices, such as open access repositories, data-sharing
platforms, and training programs.
Ensuring compliance with privacy laws and safeguarding sensitive data, for example in the
fields of food safety and Indigenous research, creates additional layers of complexity in
implementing open science principles.
Another key challenge is finding a balance between openness and the protection of proprietary
research and intellectual property, particularly in collaborations with private industry or
sensitive government work. For example, in Quebec much of the Autorité des marchés
financiers’ data are stored in systems co-owned with other members of the Canadian
Securities Administrators (CSA). Access to and use of this data is governed by an intellectual
property and licensing agreement for the CSA’s national systems that includes controls and
restrictions that the various members must comply with. There are also limitations on the open
access dissemination of knowledge due to national security requirements, which are playing
an increasingly larger role in the Canadian scientific landscape.
Another barrier to full participation in open science is the commercial nature of scientific
publishing. While Diamond Open Access venues are available, individual researchers are
motivated by prestige and impact associated with scientific journals published by for-profit
corporations. Institutions that support open access publication, via payment of article
processing charges or transformational subscription agreements, are nevertheless
contributing to a publishing model that is not motivated by the principle of knowledge as a
common good, and participation in science as an inherent right. New strategies put in place by
for-profit journals to counter the anticipated loss of revenue from the increase in immediate
open access and open licence publishing (e.g., charging fees to publish with Green open
access) impedes implementation of the Recommendation."
China,,,,,,,,,,,,,,,,,,,,,
Congo,,,,,,,,,,,"Lack of [open science] activity planning, insufficient funding and inadequate human resources ",,,,,,"It may involve predatory practices, data migration, the exploitation and privatization of research data, increases in fees for researchers, and high publication costs for articles associated with certain economic models of scientific publishing, which can cause inequalities within the global scientific community and, in some cases, lead to the loss of intellectual property and knowledge.",,,,
Costa Rica,,,,,,,,,,,,,,,,,,,,,
Côte d'Ivoire,,"The absence of a national policy and of national legal frameworks serving as a reference on open science and its various pillars, which would facilitate the development of institutional policies and legal frameworks. The lack of appropriate infrastructure and the fragmentation of implementation initiatives. The problem of funding for research and open science activities due to insufficient resources and/or the absence of a clear legal framework. Insufficient awareness-raising and advocacy for the implementation of the UNESCO Recommendation [on Open Science]. Researchers’ reluctance toward open access, related to concerns about data protection and plagiarism. ","There is a low level of knowledge and adoption of open science, which makes it difficult to clearly define the necessary governance instruments. There is insufficient information, awareness-raising and advocacy. No national roadmap has been finalised and adopted following the national symposium on open science. There is no formal national or institutional open science policy, nor a management committee to ensure proper governance.

It is important to define all the necessary governance instruments to strengthen actions and initiatives for implementing open science, and to carry out awareness-raising and advocacy with decision-makers, emphasising the importance of establishing these governance instruments.

Capacity-building for decision-makers should be reinforced to help them understand the relevance and stakes of the governance instruments necessary for implementing open science at both institutional and national levels. Existing governance instruments should be strengthened, and essential new instruments should be established. Finally, a national coordination body for open science should be created. ","There is no comprehensive strategy, national roadmap or national policy in place. Many institutions lack legal frameworks, policies or roadmaps to guide the implementation of actions and initiatives. A limited understanding of open science contributes to the absence of governance instruments, institutional committees and national coordination. ","There is no national policy on open science. FONSTI, which funds certain research programmes and projects, does not have a clearly defined mandate to support open science. Institutional research budgets, which are already insufficient, do not allocate funding for open science activities. ","Budget priorities do not focus on implementing open science initiatives. There is a limited understanding of the stakes and benefits of open science, resulting in low awareness within institutions and among research communities. Digital infrastructures are insufficiently adapted. There is a lack of funding or institutional support for research activities, and no budget line is allocated specifically for open science activities. Local open access journals, particularly those following the Diamond Open Access model, do not exist. Furthermore, there are no policies or strategies to promote open science at the institutional level. ",,,,,The majority of decision-makers have limited knowledge of open science. ,"There is limited knowledge of open science and a need to strengthen the capacities of key actors and trainers. There is no advocacy, awareness-raising or training programme to develop and disseminate open science practices among researchers. A regulatory framework is lacking, and no specific guidelines exist to integrate open science into academic training. Institutional infrastructures are insufficient, and there are limited budgetary resources as well as competing priorities. ",,"There is a problem with shifting the scientific paradigm or culture. There is uncertainty and reluctance regarding the risks of open access, such as fraud and plagiarism. Open science is not yet well integrated into the research ecosystem in our institution, with no policies, regulations or legal frameworks in place. Innovative systems and processes for research evaluation in the context of open science have not yet been implemented at the institutional level. ",There is no formal framework for implementing collaboration with civil society actors and open dialogue in the context of open science implementation.,,"problems of plagiarism, cybercrime, predatory journals, theft of ideas and research results",Insufficient information regarding the Recommendation on Open Science. Reluctance among teacher-researchers due to the risks of plagiarism and idea theft associated with open access publishing .,"Lack of knowledge about open science and its partners. Low engagement in actions and initiatives to implement the Recommendation on Open Science. Absence of policies, strategies or roadmaps on open science. Limited impact of existing actions and initiatives, including in sharing of experiences and best practices to foster cross-border collaboration. ","The country does not have an officially mandated interlocutor to lead this type of discussion, which would benefit from the existence of a roadmap outlining objectives and actions or programmes to be funded to achieve the expected results. There is no action plan or roadmap for securing the necessary funding. There is no national open science policy, nor a national roadmap that could consolidate projects and programmes for implementing the Recommendation on Open Science and facilitate discussions on national, regional and international funding mechanisms. Funding for institutional activities depends on budgetary resources allocated by the institutions and their partners, or sometimes on calls for proposals. ",
Cuba,,,,,,,,,,,,,,,,,,,,,"United States Government Economic Blockade: This is considered the main obstacle to scientific development in Cuba. A product of this unjust policy: Scientific researchers, academics and the Cuban population in general cannot access certain sites and services that facilitate collaboration, exchange and training that include open science topics. In addition, they cannot access specialized platforms for videoconferencing that facilitate exchange, training and collaboration (Zoom). Cuban platforms are unable to use the DOI, one of the most widely used persistent identifiers of digital objects in open science infrastructures, which affects their interoperability. They are also unable to use computer programs that, despite being distributed under open licenses, are restricted for download and use in our country. Cuba's access to international scientific and academic cooperation and the effective participation of researchers in events, organizations and networks that allow the exchange of information, knowledge and good scientific practices are hindered. Access to international funding, technologies, and resources necessary for research is hampered. This not only limits the capabilities of Cuban researchers, but also affects institutions in other countries, especially in the United States. The acquisition of scientific technology, both generic and specific, is becoming more difficult, and the obsolescence of the available infrastructure is becoming more acute. Access to international databases, publications and specialized sites is limited, affecting the ability of Cuban researchers to stay up to date with global advances in their fields."
Cyprus,,,lack of resources,,,,,,,,,,,,,lack of funding,,,,,
Czechia,,,,,,,,,,,,,,,,,"It is mostly the increase in costs for publications, lots of publications in predatory or potentially predatory journals. The phenomenon of predatory journals still appears here and there, but the bigger problem from our point of view seems to be the questionable practices of some established publishers (increase of special issues in journals, high APCs, short and questionable peer review process). On the level of individual researchers, Open Science is often felt to be a lot of work for little gain, especially as the overall funding of research is considered to be rather low so the additional costs of implementing open science practices (APCs, data stewards...) are often viewed as a waste of resources. Moreover, the evaluation schemes don't take these additional efforts into consideration yet. For example improving research data management requires not insignificant amount of resources (time, trainings, infrastructure) which are difficult to get by and researchers are rarely evaluated for the additional efforts. Regarding scholarly communication, Czech researchers are conservative in viewing highly impacted journals as the pinnacle of publishing and it is difficult for them to accept anything different than traditional, highly impacted journals as the right venue to publish best research. Moreover, some Czech funders are still rewarding high impact publications which, in combination with open access mandate (e.g., in Czech P JAC funding scheme), results in a significant increase of publication costs (e.g., APC costs for Nature publications). Additionally, data migration can present challenges, especially when moving research data between platforms or repositories. This process can sometimes result in data loss or mismanagement if improperly handled. The lack of interoperability between different data platforms can also hinder the efficient sharing and reuse of research data, which is essential to open science principles. Another concern is the privatisation of research data, as some private companies may attempt to control access to data initially created as part of publicly funded research. This could result in the exploitation of publicly funded knowledge, where data or research outputs are not made available for broader societal benefit but are locked behind paywalls or commercial interests. High article processing charges (APCs) associated with some open access models remain a significant barrier for many researchers, especially in disciplines with less funding. These costs can disproportionately affect scientists from less affluent institutions or countries, exacerbating global inequalities in access to publishing opportunities and research dissemination.",,,it is necessary to unify this topic at national level,
Denmark,,,,,,,,,,,,,,,,,"The total estimated publication costs have increased. While expenses for licenses have been kept relatively stable, the costs of Open Access publishing with APC (Article Processing Charges), primarily in gold open-access journals, have risen significantly. This increase cannot be solely attributed to an
increase in publication volume. This means that Danish universities are increasingly paying for Open Access publishing, either directly or through their Danish or international co-authors.",,,,"The current publishing system favors established journals with high fees, making  Open Access costly for researchers with limited funding. Sharing research data is also complex—quantitative data is easier to share, but qualitative data raises ethical concerns and risks misinterpretation. Additionally, language barriers persist, as English dominates scientific discourse, potentially excluding local communities. the costs of Open Access with APC (Article Processing Charges) payments have still increased significantly in Denmark…despite the strategy's option to achieve Open Access through self-archiving in a repository (green Open Access). "
Dominican Republic,,,,,,,,,,,,,,,,,,,,,
Ecuador,,,,,,,,,,,,,,,"This is because open science is a relatively new approach, the knowledge and application of which are still being socialized. ","open science is a relatively new approach, the knowledge and application of which are still being socialized",,,,,
Egypt,,,,,,,,,,,,,,,,,"Open access publishing can be expensive due to article processing charges (APCs), which can create barriers for researchers in developing countries…This can lead to unequal access to publishing and hinder research dissemination, particularly from developing regions. ",,,,"The Challenges of costs and sustainability in Open Science (access, and infrastructure) and the less equitable and less inclusive evaluation of scientific contributions, in other words, the lack of a world-recognized open metrics platform…are pertinent concerns that impede the sustainable implementation and realization of values for all…The transition from subscription-based models to open access, while well-intentioned, has inadvertently created a new set of hurdles. The steep Article Processing Charges (APCs) imposed by many publishers, primarily based in the Global North, are proving to be a
significant barrier to participation for researchers in developing countries (mainly Global South); major publishers are proxying Open Science/Access for adding more revenues. This mirrors the historical imbalance and inequity in which the Global North reaped disproportionate benefits from subscription fees through publishing houses located primarily in the Global North, while the Global South struggled to access essential knowledge. The current reality, as evidenced by the usage patterns of Egyptian open access platforms and transformative agreements, reveals a concerning trend: despite the financial burden borne by Egypt, “a Global South nation”, the primary beneficiaries of open access outputs remain institutions and researchers in the Global North in term of access and downloads. This disparity extends beyond access to the creation of science, as evidenced by the high cost of APCs, effectively restricting participation from Global South researchers. Furthermore, the lack of universally accepted and equitable more inclusive open metrics, that is currently dominated by entities from the Global North, particular publishing houses, raises concerns about possible bias and conflicts of interest. This control over science valuation further disadvantages researchers & organizations in developing countries, and with world institution rankings are primarily based on these metrics that are less inclusive even in terms of language representation “which index and favor English-Language research outputs”. The emergence of generative AI adds another layer of complexity. The Global North, with its superior resources and infrastructure, is poised to capitalize on open science outputs, including those from the Global South, to train advanced AI models openly. These models, often offered through expensive subscription services, will likely exacerbate the existing knowledge and technology gap, creating an ""AI divide"" that further marginalizes developing nations."
Finland,,,,,,,,,,,,,,,,,"Publication Forum expert panels decided to downgrade 60 journals to level 0 from the beginning of 2025 based on the research community's feedback on the quality assessment practices of scientific journals. In the spring of 2024, the Publication Forum collected research community's experiences on defects in quality assessment practices of scientific journals. When reviewing the feedback, the panels discussed the publisher's role in evaluations. Especially, the panels discussed commercial open access publishers, whose business model is based on collecting as many author fees (so called APC fees) as possible.",,,,
France,,,,,,,"At present, France does not have an open science policy that is specifically oriented toward the private sector or public-private partnerships. ",,,,,There is currently no sufficiently clear and widely agreed-upon vision on this matter. ,,,,,Certain opposition emerged following the dissemination of the recommendations on open science. ,"Procedural recommendations affect research more at its core than merely the openness of its outputs… their implementation requires a careful analysis of the issues, which has not yet been fully carried out, and will not be completed by 2025.
 ",,,
Gambia,,we are faced with  some funding challenges to review the National STI policy.,,,,,lack of policy,funding challenges ,lack of policy,Institutional readiness for open science is a challenge.,Lack of Policy and National readiness.,,,due to funding challenges such initiative was not sustained,Lack of Policy and National readiness,Lack of research assessment standards and tools,,,Funding challenges,,Coordination challenges and capacity both in terms of technical and human.
Georgia,,,,,,,,,,,,,,,,,"These challenges are typically observed as countries transition to more open and transparent research systems, especially in the context of aligning with EU standards and participating in international Open Science initiatives. ",,,,"challenges can be broadly categorized into political, economic, social, and technical factors… 1. Political and Governance Issues 2. Economic Constraints 3. Cultural and Institutional Resistance 4. Technical and Infrastructure Limitations 5. International Relations and Alignment 6. Access to Information and Knowledge Networks "
Germany,,,,,,,,,,,,"Due to university autonomy, only very few centralized requirements are possible for higher education curricula in Germany. Higher education curricula in general are not approved by state authorities but subject to quality assurance procedures based on a peer process run by private-sector accreditation agencies and the German Accreditation Council. Therefore, it is impossible for the Member State to require the incorporation of such competencies in curricula.",,,,,"Negative consequences are currently also discussed in relation to the costs for (commercial) Open Access. Open Science has become a topic in relation to Research Security and Digital Souvereignty.

 ",,,,
Greece,,the distribution of responsibilities across three ministries...this structure requires clear guidelines and enhanced coordination. Strengthening inter-ministerial collaboration is crucial to avoiding past gaps...in Open Science discussions...,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,,,,"For the past 10 years, the Ministry of Education has lacked statistical data, bulletins and yearbooks needed to evaluate public policy indicators. Additionally, financial resources are insufficient. ","The country does not have specific national funding allocated in the general state budget:  only 11% of the budget is allocated to education, which is insufficient to support research and open science initiatives. ",,,,"The country faces financial difficulties in building open science infrastructure across its regions, including funding for equipment. The biggest obstacle is the lack of funding. ","The activity could not be implemented due to a lack of financial resources for training and capacity-building in public and private institutions. Likewise, data collection [for this survey] was not possible because of insufficient funds to identify the beneficiaries. ",Technical support for open science policies and strategies,My country does not have infrastructure for open science. ,,,,,"The country has not supported its existing scientists, thereby losing talent in the field of open science.",,,We need technical and institutional support in the development of open science infrastructures. ,Financial difficulties in collecting information for implementation.
Hungary,,,,,,,,,,,,,,,,,"the Presidium of the Hungarian Academy of Sciences decided to set up a committee whose main task is to develop an action plan against predatory communication practices for the Academy and the practitioners of science. The committee analysed the causes of abuses and the steps that need to be taken by the research community and organisations responsible for science policy to preserve the credibility of science and strengthen trust in science. The committee's work resulted in a report entitled ""Proposals for the management of articles in journals with objectionable practices"". ",,,,
India,,,,,,,,,,,,,,,,,,,,,
Indonesia,,,,,,,,,,"limited understanding by policy makers regarding the concept and benefits of open science, lack of awareness of the importance of integrating open science principles into national Science Technology and Innovation policies. lack of policy initiatives that explicitly support the implementation of open science practices at various levels.","limited understanding by policy makers regarding the concept and benefits of open science, lack of awareness of the importance of integrating open science principles into national Science Technology and Innovation policies. lack of policy initiatives that explicitly support the implementation of open science practices at various levels",,,,"most existing activities are still focused on downstream aspects of the research cycle, especially on open access publications, while other important aspects of open science such as data sharing, open methodology and collaboration have not received sufficient attention","majority of existing initiatives are still limited to downstream aspects of the research process, particularly in the form of open access publications. Even in the context of these publications, the focus of evaluation and awards is more on citation-based measurements than on the quality of the content or substantive contribution of the research. ","there is a fear that when research results are freely disclosed, the work will be vulnerable to acts of plagiarism by other parties. there is concern that the research results that are disclosed can easily be exploited commercially by parties who do not contribute to the research process. there is concern that research results that are disseminated have the potential to be ""stolen"" and developed into commercial products without proper attribution to the original researchers. there is an opinion that research results that have been made public will face difficulties in the formal publication process because they can be considered duplication or even categorized as self-plagiarism by scientific journals. ",,,,"Regulations that are heavy on mainstream metrics (citation based)…This is reflected in the still dominant use of citation metrics in research assessment (explicitly stated in the regulations on career assessment and research performance assessment published by the ministry)... As shown in various studies, excessive focus on citation metrics can hinder innovation and collaboration in research. "
Iran (Islamic Republic of),,,,,,,,,"Concerning the physical infrastructure, there are few possibilities for researchers in different fields of science and engineering to travel to Europe and Australia and Canada on Sabbatical leaves for sharing and training and conducting shared research projects by using the infrastructure of the universities, RTOs and research organization over there. Because of the American sanctions and their chilling effects, these opportunities are rare with quite uncertainty and could be easily aborted due to political reasons. ",,,,,,,,,,,,sanctions
Ireland,,,,,,,,,,,,,,,,,,,,,growing international concerns about data security 
Italy,,,,,,,,,,,,,,,,,"In Italy, there is an ongoing debate on balancing open science with security and research integrity. ",,,,there is growing attention to the ethical aspects of Artificial Intelligence and Cybersecurity. The solutions introduced to address the various elements of open science must be compatible and aligned with those for these two areas.
Japan,,,,,,,,,,,,,,,,,,,,,"The distribution of schorlaly publications and scientific data is now under the market dominance of global academic publishers, and the subscription fees for academic journals and article processing charges (APC) are increasing considerably. These soring prices could have adverse effects such as increasing the financial burden on universities, researchers, and others involved in the core activities of academic research, such as subscribing to academic journals and publishing
academic papers, and undermining the autonomy of the research community. Moreover, it is necessary to aim establishment and transition to new systems for evaluation and assessment providing incentives for open access while understanding and analyzing the current situation and problems in order to break away the excessive dependence on quantitative indicators in research evaluation and assessment."
Latvia,,,,,,,,,,,,,,,,,,,Our country is too small ,,
Libya,,,,,,,,,,,,,,,,,,,,,"Delay in appointing a National Focal Point…Lack of dedicated funding: No funds have been allocated for promoting and implementing the 2021 UNESCO Recommendation on Open Science. Institutional and administrative challenges: Coordinating efforts among different ministries and
research institutions has proven difficult. Limited awareness and promotion: Delays in the formal dissemination of the Open Science Recommendation have hindered widespread awareness among key stakeholders. Absence of a dedicated national policy or strategy: There is no established policy or strategy specifically for Open Science, which requires significant time for development and approval. "
Lithuania,,,,,,,,,,,the small size of the administration,,resource constraints,,,,,Geopolitical changes require greater concern for security and autonomy. Open Access requirements are being introduced cautiously.  ,limited resources,,
Luxembourg,,,,,,,,,,,,,,,,,"Open access publishing has led to significant increases in publication costs for research
institutions due to article processing charges. ",,,,High costs related to Open Access publishing.
Malaysia,,,,,,,,,,,,,,,,,,,,,"Key challenges include limited funding for open science initiatives, which affects the ability of institutions to adopt necessary practices and technologies…infrastructural issues, such as insufficient access to digital platforms for data sharing and collaboration, hinder progress. Cultural resistance within traditional research settings can also pose challenges, as researchers may be hesitant to adopt open science practices due to concerns over intellectual property and the perceived risks associated with public data sharing. "
Mali,Lack of awareness of open science and the country’s economic situation.,Insufficient funding and a lack of human resources involved in the open science sector. ,"Lack of planning, poor management of risks and human resources ",Training sessions on open science culture ,,Challenges in obtaining funding for open science and a lack of budgetary predictability. ,Insufficient funding and lack of capacity-building for the National Center for Scientific and Technical Research.,,,Lack of funding and absence of infrastructure for open science ,,,Financial difficulties ,Lack of funding mechanisms and an unfavorable research environment for nurturing talent. ,Dialogue among researchers for a shared vision of research priorities ,Material and human difficulties in organising both training sessions to promote an open science culture and competitions to reward these practices ,,,Lack of a long-term research strategy ,Need to integrate open science into research funding mechanisms. ,
